"pages","iframeidi1text1selftext"
"20.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"26.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"37.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"3.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"29.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"34.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"18.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"15.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"23.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"31.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"4.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"14.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"7.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"11.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"28.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"17.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"25.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"22.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"1.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"30.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"16.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"13.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"33.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"8.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"10.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"36.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"2.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"5.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"35.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"38.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"32.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"21.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"24.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"9.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"6.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"27.html","Your browser does not support inline frames or is currently configured not to display inline frames."
"19.html","Your browser does not support inline frames or is currently configured not to display inline frames."
